ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
META,2023-04-26,10,long,12.62,9.68471101022149,2.099623226194238,7.585087784027252,True
NVDA,2026-02-25,1,long,5.32,-4.91642872529754,-0.5554476391621136,-4.360981086135427,False
NVDA,2026-02-25,3,long,5.32,-6.155820277098448,-0.9767041862534921,-5.179116090844955,False
NVDA,2026-02-25,5,long,5.32,-5.867829856046548,-1.157047195566873,-4.7107826604796745,False
NVDA,2026-02-25,10,long,5.32,-4.324980306761964,-2.4266090039944763,-1.898371302767488,False
NVDA,2025-05-28,1,long,8.02,2.3230153426020355,0.3947382380242164,1.928277104577819,True
NVDA,2025-05-28,3,long,8.02,0.992428956781605,0.8473216989542167,0.14510725782738831,True
NVDA,2025-05-28,5,long,8.02,4.329924049918602,1.3951969452848476,2.9347271046337537,True
NVDA,2025-05-28,10,long,8.02,5.006179052216857,2.319092400364571,2.6870866518522862,True
NVDA,2025-02-26,1,long,5.25,-7.5698147582139494,-1.5961929079131014,-5.973621850300848,False
NVDA,2025-02-26,3,long,5.25,-12.254796026377335,-1.8114786205175586,-10.443317405859776,False
NVDA,2025-02-26,5,long,5.25,-9.762291912578608,-1.930916313524569,-7.831375599054039,False
NVDA,2025-02-26,10,long,5.25,-10.95419189760288,-5.999588196164851,-4.95460370143803,False
NVDA,2024-11-20,1,long,8.52,-0.502002209737297,0.5368446802410456,-1.0388468899783425,False
NVDA,2024-11-20,3,long,8.52,-7.726752137722478,1.1905296743359015,-8.917281812058379,False
NVDA,2024-11-20,5,long,8.52,-8.188062820514759,1.4106797623212346,-9.598742582835994,False
NVDA,2024-11-20,10,long,8.52,-1.5874202271171676,2.73668317652041,-4.324103403637578,False
NVDA,2024-08-28,1,long,5.66,-8.21886009925337,0.008952220703271724,-8.22781231995664,False
NVDA,2024-08-28,3,long,5.66,-15.704026131528739,-1.1141273074990699,-14.589898824029671,False
NVDA,2024-08-28,5,long,5.66,-16.320635699095725,-1.5565366782639969,-14.764099020831727,False
NVDA,2024-08-28,10,long,5.66,-7.001095375534887,0.14150536390944596,-7.142600739444332,False
NVDA,2024-05-22,1,long,9.74,8.736740501331852,-0.7304389772933909,9.467179478625242,True
NVDA,2024-05-22,3,long,9.74,19.31928972913037,-0.0037878372192885167,19.32307756634966,True
NVDA,2024-05-22,5,long,9.74,15.756499275328606,-1.3627186900738486,17.119217965402456,True
NVDA,2024-05-22,10,long,9.74,26.753884381677075,0.9115943573261551,25.842290024350916,True
NVDA,2024-02-21,1,long,11.4,15.486854638854409,2.069553777634266,13.417300861220141,True
NVDA,2024-02-21,3,long,11.4,16.30151637259694,1.7658496161127937,14.535666756484144,True
NVDA,2024-02-21,5,long,11.4,14.200225232545726,1.8201563802722212,12.380068852273505,True
NVDA,2024-02-21,10,long,11.4,30.435782952262525,2.5220765100383318,27.913706442224196,True
NVDA,2023-11-21,1,long,18.73,-2.8129033918989115,0.3860915626865677,-3.1989949545854794,False
NVDA,2023-11-21,3,long,18.73,-3.7585096580657402,0.2669660895274817,-4.025475747593222,False
NVDA,2023-11-21,5,long,18.73,-3.9619968643667005,0.29564650227814443,-4.257643366644845,False
NVDA,2023-11-21,10,long,18.73,-9.214769305341616,0.3287307371852422,-9.543500042526858,False
NVDA,2023-08-23,1,long,29.35,2.8277931399839837,-1.3859045667812662,4.21369770676525,True
NVDA,2023-08-23,3,long,29.35,2.1126836894052134,-0.06094756562400401,2.173631255029217,True
NVDA,2023-08-23,5,long,29.35,7.408533874721831,1.8012195075856041,5.607314367136228,True
NVDA,2023-08-23,10,long,29.35,0.8259045205593328,0.4108005704509571,0.41510395010837575,True
NVDA,2023-05-24,1,long,18.8,25.71997511099655,0.865998901166211,24.85397620983034,True
NVDA,2023-05-24,3,long,18.8,32.773908558351955,2.211206284057946,30.562702274294008,True
NVDA,2023-05-24,5,long,18.8,31.645143722640384,2.6101391100125175,29.03500461262787,True
