senator,ticker,owner,trade_date,amount,ret_3d,ret_5d,ret_10d,ret_20d
William Cassidy,PLD,Spouse,2020-07-15,8000.5,0.28866757663563725,3.3932441992485574,12.244069706871574,4.906520679202742
Patrick J Toomey,TSLA,Child,2020-07-07,8000.5,9.922887362152078,7.495215856644988,9.264052855225469,1.8008457212346007
Pat Roberts,NOC,Spouse,2020-07-02,32500.5,-4.1266391303321885,-7.5139877722918085,-4.049180193577806,0.2753502989882861
Pat Roberts,BA,Spouse,2020-07-02,8000.5,-1.6688153127043082,-3.0274186715007034,-5.887695983437757,-17.192169894496235
Pat Roberts,BA,Spouse,2020-07-27,8000.5,-5.081768869797698,-6.388129784444274,1.5841699066507564,-1.3595959102076005
Pat Roberts,NFLX,Spouse,2020-07-15,8000.5,-4.752071089093757,-7.947335253185739,-8.427233574548554,-13.976977622139884
Pat Roberts,NFLX,Spouse,2020-07-13,8000.5,-1.5301737569468843,-7.404967101774173,-8.341978637838965,-14.59950900636693
Pat Roberts,SPOT,Spouse,2020-07-02,8000.5,-2.0864648275452757,0.7696263658055091,-6.081867333169077,-9.611888525145783
Pat Roberts,BYND,Spouse,2020-07-01,8000.5,-0.012020621447494939,-1.5395967621566142,-12.619685645533696,-17.262420972210514
Thomas R Carper,C,Spouse,2020-07-09,8000.5,-0.02851576651441423,2.025814351239563,2.589336310701462,-2.391554875236035
Thomas R Carper,LMT,Spouse,2020-07-09,8000.5,3.1740712104597613,5.585522662131193,11.290096874852985,5.355557325402604
Thomas R Carper,WIW,Spouse,2020-07-09,8000.5,0.0051497756287322005,-0.4990614216009881,-0.6369723047151776,-1.6195780877611865
Thomas R Carper,AXS,Spouse,2020-07-09,8000.5,4.550485491123446,8.66002060062021,8.534273120647782,8.761706413168868
Thomas R Carper,SRVR,Spouse,2020-07-09,8000.5,-3.5206225616117526,-4.8804428596643135,-3.5761431174526126,-4.487879571468034
Thomas R Carper,RTH,Spouse,2020-07-09,8000.5,-0.8151792007662584,-0.8980551398164671,-0.798498764992539,-1.153467719122836
Thomas R Carper,PTLC,Spouse,2020-07-09,8000.5,0.004111810822116091,-0.04761230794201321,0.02244187875206638,-0.009827170695597687
Thomas R Carper,PTMC,Spouse,2020-07-09,8000.5,-1.4441194987200534,-2.0389257782190695,-2.6194572253504633,-3.639161596150786
Thomas R Carper,GBIL,Spouse,2020-07-09,8000.5,-1.4242402391587694,-2.0290173350849816,-2.7192781734197258,-6.329932543697936
Thomas R Carper,IRM,Spouse,2020-07-09,8000.5,2.8721536050388963,2.430144115257793,2.3510231946402893,4.769551300932351
Thomas R Carper,LHX,Spouse,2020-07-09,8000.5,0.1579131632503339,2.485502722938948,5.3246637245871975,2.333811557791643
Thomas R Carper,PFE,Spouse,2020-07-09,8000.5,3.8457869596691507,4.356758766752189,12.064603808625773,9.147416987363588
Thomas R Carper,WIW,Spouse,2020-07-07,8000.5,-1.8431210363175077,-1.0091406340740239,-2.141376939583939,-2.750438875055572
Thomas R Carper,RTH,Spouse,2020-07-07,8000.5,0.5936359774614708,-0.10325808891711308,0.1400251772149863,0.5598738770236977
