ticker,date,h,stk,spy,abn,period,price
TZOO,2023-01-05,10,0.09054332094548082,0.03233874135431587,0.05820457959116494,disc,4.96999979019165
NCRA,2023-06-07,1,-0.01910833732279483,0.0017943024372815526,-0.02090263976007638,disc,1.5700000524520874
NCRA,2023-06-07,3,-0.01656052357933093,0.017547127195995486,-0.03410765077532642,disc,1.5700000524520874
NCRA,2023-06-07,5,-0.025477757787232685,0.03138909204072443,-0.05686684982795712,disc,1.5700000524520874
NCRA,2023-06-07,10,0.05095536371550286,0.009507577018250668,0.041447786697252194,disc,1.5700000524520874
MAMA,2022-11-28,1,-0.028571402621105857,0.03150059798946745,-0.06007200061057331,disc,1.0499999523162842
MAMA,2022-11-28,3,-0.038095203494807814,0.0295523931662803,-0.0676475966610881,disc,1.0499999523162842
MAMA,2022-11-28,5,0.05714291877487359,-0.0035423028999458494,0.06068522167481944,disc,1.0499999523162842
MAMA,2022-11-28,10,0.4190476925735334,0.01705333615115617,0.40199435642237724,disc,1.0499999523162842
MAMA,2022-09-16,1,-0.07692300638503319,-0.01147855255487627,-0.06544445383015692,disc,1.1699999570846558
MAMA,2022-09-16,3,-0.07692300638503319,-0.03688067693339133,-0.04004232945164186,disc,1.1699999570846558
MAMA,2022-09-16,5,-0.06410250532086098,-0.06238577016064868,-0.0017167351602122988,disc,1.1699999570846558
MAMA,2022-09-16,10,-0.05982900496613692,-0.05646635730457557,-0.0033626476615613507,disc,1.1699999570846558
TRNR,2024-06-28,1,0.088,0.006729714910746693,0.0812702850892533,disc,12500.0
TRNR,2024-06-28,3,-0.116,0.017053558027996213,-0.13305355802799623,disc,12500.0
TRNR,2024-06-28,5,-0.2256,0.01921733221964194,-0.24481733221964194,disc,12500.0
TRNR,2024-06-28,10,-0.3504,0.03579410557601912,-0.38619410557601913,disc,12500.0
ORGS,2024-03-07,1,-0.04651169237927759,-0.0008598499967885336,-0.04565184238248905,disc,8.600000381469727
ORGS,2024-03-07,3,0.03488363066901137,0.0083052635665669,0.026578367102444475,disc,8.600000381469727
ORGS,2024-03-07,5,-0.0813953784944677,-0.00369345470946785,-0.07770192378499985,disc,8.600000381469727
ORGS,2024-03-07,10,0.04651158148692013,0.018545338719054897,0.027966242767865235,disc,8.600000381469727
LSDIF,2023-03-24,1,-0.07258061663045011,-0.0022446572493123556,-0.07033595938113775,disc,12.399999618530273
LSDIF,2023-03-24,3,-0.08870963400285888,0.01818462546404823,-0.1068942594669071,disc,12.399999618530273
