ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
DNB,2022-02-17,3,1300382117.28,2022-02-17,2022-02-17,-2.7285564641551936,-2.136129795886436,28.110000610351562
NOTV,2022-02-18,3,424062.0,2022-02-17,2022-02-18,-1.4144271154472572,-3.2248652214585825,27.75
WRBY,2022-02-18,3,142088083.52,2022-01-28,2022-02-18,-1.4144271154472572,-3.2248652214585825,27.75
NSIT,2022-02-22,7,91097712.02,2022-02-22,2022-02-22,-2.1525116775040676,-3.9551809520131007,28.809999465942383
AVTX,2022-02-22,3,560730.0,2022-02-22,2022-02-22,-2.1525116775040676,-3.9551809520131007,28.809999465942383
AMPL,2022-02-23,8,399520419.6,2022-02-23,2022-02-23,-5.4135770511806465,-6.428775733959806,31.020000457763672
MNKD,2022-03-01,5,658397.21,2022-03-01,2022-03-01,0.09545405971199308,-2.0591122775740267,33.31999969482422
EOSE,2022-03-02,3,278825.0,2022-03-02,2022-03-02,3.7776843780035048,-1.8404005277307758,30.739999771118164
KLR,2022-03-02,3,230700.0,2022-03-02,2022-03-02,3.7776843780035048,-1.8404005277307758,30.739999771118164
RILY,2022-03-02,5,8695695.42,2022-03-02,2022-03-02,3.7776843780035048,-1.8404005277307758,30.739999771118164
ESTA,2022-03-02,5,2971000.0,2022-03-02,2022-03-02,3.7776843780035048,-1.8404005277307758,30.739999771118164
PTVE,2022-03-02,4,732321.15,2022-03-02,2022-03-02,3.7776843780035048,-1.8404005277307758,30.739999771118164
FGMC,2022-03-03,4,2200000.0,2022-03-03,2022-03-03,1.7300807545246446,-2.438424751504159,30.479999542236328
AMWD,2022-03-03,3,748336.01,2022-03-03,2022-03-03,1.7300807545246446,-2.438424751504159,30.479999542236328
PSNL,2022-03-04,7,21375679.99,2022-03-04,2022-03-04,-1.2747001514097185,-1.1188315524768533,31.979999542236328
JRVR,2022-03-04,4,1831254.5,2022-03-03,2022-03-04,-1.2747001514097185,-1.1188315524768533,31.979999542236328
STKL,2022-03-04,9,1057885.29,2022-03-04,2022-03-04,-1.2747001514097185,-1.1188315524768533,31.979999542236328
DOUG,2022-03-07,3,535050.0,2022-03-07,2022-03-07,-3.93925318849781,-3.4083339647270323,36.45000076293945
HLMN,2022-03-07,5,2194625.1,2022-03-07,2022-03-07,-3.93925318849781,-3.4083339647270323,36.45000076293945
PRPL,2022-03-07,7,280078302.1,2022-03-07,2022-03-07,-3.93925318849781,-3.4083339647270323,36.45000076293945
AHCO,2022-03-08,4,1100200.48,2022-03-04,2022-03-08,-3.193190680770915,-3.1007846511980635,35.130001068115234
UTZ,2022-03-08,5,720473.73,2022-03-08,2022-03-08,-3.193190680770915,-3.1007846511980635,35.130001068115234
KBNT,2022-03-08,3,516002.4,2022-03-08,2022-03-08,-3.193190680770915,-3.1007846511980635,35.130001068115234
FSK,2022-03-09,3,202957.9,2022-03-04,2022-03-09,-2.3932863188296714,1.2939872557865095,32.45000076293945
JHG,2022-03-09,3,184692426.64,2022-03-09,2022-03-09,-2.3932863188296714,1.2939872557865095,32.45000076293945
DASH,2022-03-10,29,1548852287.93,2022-03-10,2022-03-10,-2.3478750387758516,-0.658414418437356,30.229999542236328
FRST,2022-03-10,3,664624.91,2022-03-10,2022-03-10,-2.3478750387758516,-0.658414418437356,30.229999542236328
COTY,2022-03-14,3,2844380.44,2022-03-10,2022-03-14,-0.5793818636153388,-4.495811733577104,31.770000457763672
LSEA,2022-03-15,3,1000682.2,2022-03-15,2022-03-15,2.3832008603162054,-0.8860899682303797,29.829999923706055
SNCR,2022-03-15,5,601228.41,2022-03-14,2022-03-15,2.3832008603162054,-0.8860899682303797,29.829999923706055
HGEN,2022-03-15,6,15093600.0,2022-03-04,2022-03-15,2.3832008603162054,-0.8860899682303797,29.829999923706055
