ticker,cluster_date,n_insiders,total_value,window_start,window_end,year,sector
PCT,2024-09-13,3,60000009.51,2024-09-13,2024-09-13,2024,Industrials
PI,2024-09-13,3,60000009.51,2024-09-13,2024-09-13,2024,Technology
VRDN,2024-09-13,3,90000000.0,2024-09-13,2024-09-13,2024,Healthcare
MBX,2024-09-16,22,206000000.0,2024-09-16,2024-09-16,2024,Healthcare
BCAX,2024-09-16,5,164970000.0,2024-09-16,2024-09-16,2024,Healthcare
GDOT,2024-09-23,3,7151535.6,2024-09-23,2024-09-23,2024,Financial Services
AHH,2024-09-26,4,3099988.5,2024-09-26,2024-09-26,2024,Real Estate
IBTA,2024-09-27,3,3479519.58,2024-09-27,2024-09-27,2024,Technology
BKV,2024-09-27,4,1674000.0,2024-09-27,2024-09-27,2024,Energy
MOFG,2024-09-30,8,681000.0,2024-09-30,2024-09-30,2024,Financial Services
BATRA,2024-09-30,4,336800.0,2024-09-30,2024-09-30,2024,Communication Services
SPG,2024-09-30,4,248607.8,2024-09-30,2024-09-30,2024,Real Estate
BHVN,2024-10-02,3,2220890.0,2024-09-24,2024-10-02,2024,Healthcare
SNDA,2024-10-10,8,6632690.48,2024-10-10,2024-10-10,2024,Healthcare
CBLL,2024-10-15,5,29891202.0,2024-10-11,2024-10-15,2024,Healthcare
DRUG,2024-10-15,3,9558815.88,2024-10-15,2024-10-15,2024,Healthcare
JANX,2024-10-18,5,268500000.0,2024-10-18,2024-10-18,2024,Healthcare
NRDS,2024-10-21,3,15827923.05,2024-10-21,2024-10-21,2024,Communication Services
INGM,2024-10-23,5,7036700.0,2024-10-23,2024-10-23,2024,Technology
SEPN,2024-10-28,11,445500000.0,2024-10-28,2024-10-28,2024,Healthcare
UMAC,2024-10-30,3,249998.96,2024-10-30,2024-10-30,2024,Technology
MPB,2024-11-01,5,1090497.0,2024-11-01,2024-11-01,2024,Financial Services
AIN,2024-11-05,3,245967.0,2024-11-05,2024-11-05,2024,Consumer Cyclical
UAN,2024-11-06,3,11475680.1,2024-11-06,2024-11-06,2024,Basic Materials
TYRA,2024-11-08,6,99332331.25,2024-10-30,2024-11-08,2024,Healthcare
GDOT,2024-11-08,3,5823373.5,2024-11-08,2024-11-08,2024,Financial Services
OSCR,2024-11-11,5,72164260.9,2024-11-11,2024-11-11,2024,Healthcare
DCOM,2024-11-12,3,2784000.0,2024-11-12,2024-11-12,2024,Financial Services
BH,2024-11-12,3,17315442.57,2024-11-12,2024-11-12,2024,Consumer Cyclical
GRBK,2024-11-13,4,281387972.32,2024-11-13,2024-11-13,2024,Consumer Cyclical
WSC,2024-11-15,4,878500.0,2024-11-04,2024-11-15,2024,Industrials
HTLD,2024-11-18,5,3736080.65,2024-11-04,2024-11-18,2024,Industrials
ZETA,2024-11-18,7,4211155.48,2024-11-18,2024-11-18,2024,Technology
WOLF,2024-11-20,4,816943.68,2024-11-20,2024-11-20,2024,Technology
PX,2024-11-20,6,819000.0,2024-11-20,2024-11-20,2024,Financial Services
IMNM,2024-11-21,3,1310007.72,2024-11-21,2024-11-21,2024,Healthcare
MNR,2024-12-10,3,15121612.74,2024-12-10,2024-12-10,2024,Energy
TKO,2024-12-11,7,336858260.2,2024-12-11,2024-12-11,2024,Communication Services
ACHR,2024-12-11,7,30101153.54,2024-11-19,2024-12-11,2024,Industrials
FISI,2024-12-13,11,770000.0,2024-12-13,2024-12-13,2024,Financial Services
CNC,2024-12-16,3,988603.93,2024-12-13,2024-12-16,2024,Healthcare
STAA,2024-12-16,3,5842534.2,2024-12-16,2024-12-16,2024,Healthcare
